E01032585,Sheffield 072E,E08000019,Sheffield,Yorkshire and The Humber,672,40,6.0
E01033261,Sheffield 073A,E08000019,Sheffield,Yorkshire and The Humber,726,110,15.2
E01033262,Sheffield 073B,E08000019,Sheffield,Yorkshire and The Humber,618,58,9.4
E01033263,Sheffield 073C,E08000019,Sheffield,Yorkshire and The Humber,635,83,13.1
E01033264,Sheffield 073D,E08000019,Sheffield,Yorkshire and The Humber,642,60,9.3
E01033276,Sheffield 073E,E08000019,Sheffield,Yorkshire and The Humber,694,73,10.5
E01008114,Sheffield 074A,E08000019,Sheffield,Yorkshire and The Humber,852,104,12.2
E01008115,Sheffield 074B,E08000019,Sheffield,Yorkshire and The Humber,545,135,24.8
E01033265,Sheffield 074C,E08000019,Sheffield,Yorkshire and The Humber,609,59,9.7
E01033266,Sheffield 074D,E08000019,Sheffield,Yorkshire and The Humber,619,69,11.1
E01033267,Sheffield 074E,E08000019,Sheffield,Yorkshire and The Humber,576,65,11.3
E01007878,Sheffield 075A,E08000019,Sheffield,Yorkshire and The Humber,657,96,14.6
E01007879,Sheffield 075B,E08000019,Sheffield,Yorkshire and The Humber,721,157,21.8
E01007881,Sheffield 075C,E08000019,Sheffield,Yorkshire and The Humber,687,115,16.7
E01007882,Sheffield 075D,E08000019,Sheffield,Yorkshire and The Humber,620,139,22.4
E01007885,Sheffield 075E,E08000019,Sheffield,Yorkshire and The Humber,702,76,10.8
E01007886,Sheffield 075F,E08000019,Sheffield,Yorkshire and The Humber,683,114,16.7
E01033268,Sheffield 075G,E08000019,Sheffield,Yorkshire and The Humber,"1,066",80,7.5
E01007838,Sheffield 076A,E08000019,Sheffield,Yorkshire and The Humber,652,82,12.6
E01007839,Sheffield 076B,E08000019,Sheffield,Yorkshire and The Humber,675,86,12.7
E01007841,Sheffield 076C,E08000019,Sheffield,Yorkshire and The Humber,647,71,11.0
E01007842,Sheffield 076D,E08000019,Sheffield,Yorkshire and The Humber,695,77,11.1
E01033278,Sheffield 076E,E08000019,Sheffield,Yorkshire and The Humber,"1,192",128,10.7
E01033279,Sheffield 076F,E08000019,Sheffield,Yorkshire and The Humber,"1,028",115,11.2
